Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 20
Resolved,Backtracks,Time
1,0,79
1,0,60
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 50
Resolved,Backtracks,Time
1,0,76
1,0,28
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 100
Resolved,Backtracks,Time
1,0,96
1,1,84
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
Generator : Random,Difficulty : 10,Nb Planes : 200
Resolved,Backtracks,Time
1,0,271
1,7,413
